"","Gender","Age","Stress_Level","Rapid_Heartbeat","Anxiety","Sleep_Problems","Anxiety_Level","Headaches","Irritation","Concentration_Problems","Low_Mood","Health_Issues","Loneliness","Academic_Workload","Peer_Competition","Relationship_Stress","Professor_Difficulty","Work_Environment","Lack_of_Leisure_Time","Home_Environment","Low_Academic_Confidence","Subject_Confidence","Activity_Conflict","Class_Attendance","Weight_Change","Stress_Type"
"782","0",21,2,5,3,4,4,4,1,5,5,2,3,3,2,3,1,1,1,5,2,1,5,1,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"783","1",19,4,1,2,1,1,1,1,3,1,2,1,2,1,3,1,3,2,2,5,5,5,3,5,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"784","0",21,2,5,2,2,1,1,3,2,1,2,3,5,3,3,3,3,3,4,3,2,2,3,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"785","0",20,4,2,5,3,5,1,3,3,2,4,3,3,3,2,2,4,1,1,1,4,4,4,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"786","1",20,4,2,3,2,2,4,5,4,4,1,1,2,1,2,5,1,1,1,1,1,4,4,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"787","1",21,5,3,3,1,4,2,1,5,1,2,1,1,3,2,4,4,4,2,2,5,5,5,5,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"788","0",21,3,3,2,2,3,2,2,1,2,2,3,2,3,3,2,1,1,1,1,1,2,4,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"789","0",21,5,1,2,3,3,4,3,4,5,3,3,3,5,4,3,1,2,2,3,2,3,4,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"790","1",22,2,4,3,3,4,1,4,1,2,2,2,3,3,2,3,4,2,5,2,1,3,3,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"791","0",20,4,1,1,3,2,3,3,3,3,3,2,1,3,2,3,1,2,2,3,4,4,3,4,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"792","0",22,2,1,1,3,2,1,3,5,5,5,4,5,5,4,5,3,3,5,3,4,1,3,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"793","0",20,4,2,2,2,3,2,1,2,4,3,1,2,1,4,1,2,3,4,4,1,4,4,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"794","1",20,3,2,2,2,5,2,5,3,3,3,4,1,1,3,3,3,4,2,1,5,2,4,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"795","0",20,2,3,3,4,3,3,2,1,2,1,2,3,2,3,5,3,4,3,4,2,3,3,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"796","0",21,1,1,2,2,3,1,2,4,2,2,2,1,1,4,2,4,3,3,2,2,5,4,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"797","0",21,3,2,3,2,1,1,2,2,4,4,3,4,2,3,3,3,3,3,3,1,2,2,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"798","0",20,4,4,5,3,5,5,2,1,5,5,2,3,3,2,3,1,1,1,5,2,4,4,4,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"799","1",20,3,4,2,4,2,2,3,1,3,1,2,1,2,1,3,1,3,2,2,5,3,1,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"800","0",20,2,3,1,1,2,5,2,3,2,1,2,3,5,3,3,3,3,3,4,3,1,4,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"801","0",20,5,4,3,1,2,1,3,3,3,2,4,3,3,3,2,2,4,1,1,1,1,2,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"802","1",20,3,4,3,3,2,2,5,5,4,4,1,1,2,1,2,5,1,1,1,1,1,5,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"803","1",20,3,3,3,3,2,2,4,1,5,1,2,1,1,3,2,4,4,4,2,2,3,3,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"804","0",20,3,4,2,4,3,3,2,2,1,2,2,3,2,3,3,2,1,1,1,1,3,4,4,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"805","0",20,2,2,1,1,3,2,3,3,4,5,3,3,3,5,4,3,1,2,2,3,2,5,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"806","1",20,5,5,5,4,5,2,5,4,1,2,2,2,3,3,2,3,4,2,5,2,5,5,5,"Distress (Negative Stress) - Stress that causes anxiety and impairs well-being."
"807","0",20,3,2,2,1,4,4,4,3,3,3,3,2,1,3,2,3,1,2,2,3,2,1,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"808","1",21,3,4,1,4,4,3,2,3,4,4,4,3,3,3,3,3,1,2,3,2,3,1,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"809","1",19,2,1,1,2,2,3,3,1,1,1,1,1,1,2,1,2,1,1,1,1,3,5,1,"No Stress - Currently experiencing minimal to no stress."
"810","1",20,5,3,2,2,3,3,4,5,5,5,2,3,4,1,2,3,2,3,4,3,3,3,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"811","1",20,3,4,2,2,2,3,3,2,1,2,4,3,1,3,2,3,2,3,3,2,2,2,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"812","0",18,3,2,2,4,4,3,5,2,2,2,1,1,2,4,4,3,3,2,2,3,2,1,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"813","0",20,5,2,3,3,4,4,4,2,5,3,4,3,2,2,2,2,1,1,1,1,2,2,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"814","0",19,4,4,4,3,4,3,2,2,3,4,1,1,1,1,2,3,1,1,3,4,3,5,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"815","1",18,3,2,4,2,1,2,3,3,3,1,2,2,2,2,1,5,1,1,1,4,3,4,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"816","1",19,4,5,3,5,1,5,4,2,2,1,1,1,1,1,1,1,5,4,5,5,2,4,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"817","1",18,1,1,1,2,1,2,3,3,2,1,1,5,3,3,3,3,2,3,5,3,1,5,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"818","1",19,3,4,3,3,2,2,3,5,3,1,2,3,5,2,1,3,2,4,1,2,2,3,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"819","0",18,3,4,2,3,4,4,4,4,3,5,4,3,3,4,3,1,3,5,5,3,3,2,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"820","0",20,1,2,1,2,1,1,4,2,3,3,4,4,2,3,2,4,3,3,2,5,2,3,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"821","0",19,2,3,2,3,4,4,4,2,4,4,3,1,5,5,5,2,4,3,4,3,5,3,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"822","0",19,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,3,"No Stress - Currently experiencing minimal to no stress."
"823","0",18,5,5,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,3,1,2,1,2,"No Stress - Currently experiencing minimal to no stress."
"824","0",19,1,1,1,5,3,5,1,1,1,1,1,5,1,3,1,2,1,1,2,1,1,4,2,"No Stress - Currently experiencing minimal to no stress."
"825","0",19,3,4,2,3,2,2,4,3,5,3,2,1,2,4,2,1,1,5,4,3,2,3,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"826","1",19,3,4,3,3,1,4,2,1,3,5,4,2,5,4,3,1,2,3,2,3,3,3,3,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"827","1",21,4,4,2,2,2,3,2,2,1,1,1,1,2,2,1,2,3,3,3,2,3,4,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"828","1",19,3,2,1,2,3,3,4,1,2,3,2,5,1,2,1,5,5,5,1,2,1,2,2,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
"829","1",19,4,4,3,1,4,5,2,5,3,1,3,1,2,1,1,4,1,2,2,3,3,2,1,"Eustress (Positive Stress) - Stress that motivates and enhances performance."
